Variable,Frequency_Index,Period_Days,Power_Spectral_Density,Log10_Period_Days,Log10_Power
CAPE,279,56.09285714,432270089.9,1.748907562,8.635755186
CAPE,280,55.89323843,254556008.1,1.747359273,8.405783352
CAPE,281,55.69503546,11904892.01,1.745816485,7.07572546
CAPE,282,55.49823322,59688148.66,1.744279158,7.775888109
CAPE,283,55.3028169,162603433.6,1.742747253,8.211129712
CAPE,284,55.10877193,146525939.5,1.741220733,8.165914515
CAPE,285,54.91608392,217823415,1.73969956,8.338104562
CAPE,286,54.72473868,46614449.59,1.738183696,7.668520561
CAPE,287,54.53472222,47558802.27,1.736673105,7.677230909
CAPE,288,54.34602076,212133608.9,1.73516775,8.32660948
CAPE,289,54.15862069,340355340.8,1.733667595,8.53193257
CAPE,290,53.97250859,267019166.5,1.732172604,8.426542436
CAPE,291,53.78767123,144859837.6,1.730682742,8.160947994
CAPE,292,53.60409556,297952270.8,1.729197973,8.4741467
CAPE,293,53.42176871,171665492.9,1.727718263,8.234683005
CAPE,294,53.24067797,347824515.7,1.726243577,8.541360189
CAPE,295,53.06081081,445945941.8,1.724773882,8.649282216
CAPE,296,52.88215488,70877822.79,1.723309144,7.850510369
CAPE,297,52.70469799,105301552,1.721849329,8.022434772
CAPE,298,52.52842809,335554612.7,1.720394405,8.525763213
CAPE,299,52.35333333,82882673.03,1.718944338,7.918463749
CAPE,300,52.17940199,29401239.54,1.717499098,7.46836564
CAPE,301,52.00662252,213720968,1.71605865,8.329847133
CAPE,302,51.8349835,535134865.2,1.714622965,8.728463247
CAPE,303,51.66447368,359068805.3,1.71319201,8.555177677
CAPE,304,51.49508197,424380224.9,1.711765754,8.627755139
CAPE,305,51.32679739,311438181.9,1.710344167,8.493371855
CAPE,306,51.15960912,68361823.93,1.708927218,7.834813641
CAPE,307,50.99350649,738492144.5,1.707514877,8.86834588
CAPE,308,50.82847896,389796038,1.706107114,8.590837421
CAPE,309,50.66451613,837927.4187,1.704703899,5.923206402
CAPE,310,50.50160772,73182745.58,1.703305204,7.864408699
CAPE,311,50.33974359,131583058.9,1.701910999,8.119199978
CAPE,312,50.17891374,67999556,1.700521256,7.832506077
CAPE,313,50.01910828,14548029.63,1.699135945,7.162804177
CAPE,314,49.86031746,71492029.13,1.697755039,7.854257624
CAPE,315,49.70253165,46663786.59,1.69637851,7.668979977
CAPE,316,49.54574132,253649308.6,1.695006331,8.404233683
CAPE,317,49.38993711,84286537.28,1.693638473,7.925758212
CAPE,318,49.23510972,305948916.3,1.69227491,8.485648919
CAPE,319,49.08125,251011000.9,1.690915615,8.399692756
CAPE,320,48.92834891,175500839.5,1.689560561,8.244279198
CAPE,321,48.77639752,238476023,1.688209721,8.37744472
CAPE,322,48.625387,108500838.4,1.686863071,8.035433094
CAPE,323,48.47530864,31031731.11,1.685520583,7.491806003
CAPE,324,48.32615385,91643980.12,1.684182232,7.962103942
CAPE,325,48.17791411,30122910.47,1.682847993,7.478896931
CAPE,326,48.03058104,109232673.1,1.68151784,8.038352562
CAPE,327,47.88414634,413027385.1,1.680191749,8.615978848
CAPE,328,47.73860182,364496789.1,1.678869695,8.561693707
CAPE,329,47.59393939,24993512.52,1.677551653,7.397827295
CAPE,330,47.45015106,22987320.67,1.676237599,7.361488354
CAPE,331,47.30722892,191388670,1.674927509,8.281916225
CAPE,332,47.16516517,276446671,1.67362136,8.441611364
CAPE,333,47.0239521,139534400.8,1.672319126,8.144681292
CAPE,334,46.88358209,59696686.48,1.671020786,7.775950226
CAPE,335,46.74404762,66911289.68,1.669726316,7.825499401
CAPE,336,46.60534125,115180979.5,1.668435692,8.061380768
CAPE,337,46.46745562,4082878.202,1.667148893,6.610966424
CAPE,338,46.33038348,78097940.82,1.665865895,7.892639583
CAPE,339,46.19411765,10257220,1.664586676,7.011029671
CAPE,340,46.05865103,18745791.39,1.663311214,7.27290378
CAPE,341,45.92397661,141025851,1.662039487,8.149298729
CAPE,342,45.79008746,30541721.26,1.660771473,7.484893509
CAPE,343,45.65697674,20797051.17,1.659507151,7.31800176
CAPE,344,45.52463768,122286991.1,1.658246498,8.087380259
CAPE,345,45.39306358,20620269.22,1.656989494,7.314294331
CAPE,346,45.26224784,10528617.06,1.655736118,7.02237133
CAPE,347,45.13218391,27106712.19,1.654486349,7.433076845
CAPE,348,45.00286533,18258053.1,1.653240166,7.261454466
CAPE,349,44.87428571,66713568.56,1.651997549,7.824214172
CAPE,350,44.74643875,118141110,1.650758477,8.072401047
CAPE,351,44.61931818,204574866.9,1.64952293,8.310852277
CAPE,352,44.49291785,36576583.56,1.648290888,7.563203138
CAPE,353,44.36723164,138808020.8,1.647062331,8.142414562
CAPE,354,44.24225352,57176367.66,1.64583724,7.757216562
CAPE,355,44.11797753,89964914.59,1.644615595,7.954073172
